ID,Form_ID,Cognateset_ID,Alignment,Source
abui1241-fuime-big-1-biglexstat,abui1241-fuime-big-1,big-1-0,f o k o,biglexstat
abui1241-fuime-cold-1-biglexstat,abui1241-fuime-cold-1,cold-1-0,p a l a t a,biglexstat
abui1241-fuime-fish-1-biglexstat,abui1241-fuime-fish-1,fish-1-0,a f - u,biglexstat
abui1241-fuime-correct-1-biglexstat,abui1241-fuime-correct-1,correct-1-0,r o f i,biglexstat
abui1241-fuime-lazy-1-biglexstat,abui1241-fuime-lazy-1,lazy-1-0,k i l i k i -,biglexstat
abui1241-fuime-deer-1-biglexstat,abui1241-fuime-deer-1,deer-1-0,- a i j u t i,biglexstat
abui1241-fuime-good-1-biglexstat,abui1241-fuime-good-1,good-1-0,k a ŋ -,biglexstat
abui1241-fuime-chicken-1-biglexstat,abui1241-fuime-chicken-1,chicken-1-0,r u - o -,biglexstat
abui1241-fuime-crocodile-1-biglexstat,abui1241-fuime-crocodile-1,crocodile-1-0,f a h a i,biglexstat
abui1241-fuime-long-1-biglexstat,abui1241-fuime-long-1,long-1-0,l o h u,biglexstat
abui1241-fuime-wrong-1-biglexstat,abui1241-fuime-wrong-1,wrong-1-0,h a s a l a,biglexstat
abui1241-fuime-fly-1-biglexstat,abui1241-fuime-fly-1,fly-1-0,f u l f a i,biglexstat
abui1241-fuime-butterfly-1-biglexstat,abui1241-fuime-butterfly-1,butterfly-1-0,k u p - - a k,biglexstat
abui1241-fuime-flea-1-biglexstat,abui1241-fuime-flea-1,flea-1-1,k a i _ n e b i k - e ŋ,biglexstat
abui1241-fuime-heavy-1-biglexstat,abui1241-fuime-heavy-1,heavy-1-0,t u h a i,biglexstat
abui1241-fuime-old_worn_house-1-biglexstat,abui1241-fuime-old_worn_house-1,old_worn_house-1-0,m a k i l a,biglexstat
abui1241-fuime-black-1-biglexstat,abui1241-fuime-black-1,black-1-0,- a k a n i -,biglexstat
abui1241-fuime-thin-1-biglexstat,abui1241-fuime-thin-1,thin-1-0,f o l i,biglexstat
abui1241-fuime-egg-1-biglexstat,abui1241-fuime-egg-1,egg-1-0,- - - - - - b i r - - a,biglexstat
abui1241-fuime-rat-1-biglexstat,abui1241-fuime-rat-1,rat-1-0,r u i - -,biglexstat
abui1241-fuime-yellow-1-biglexstat,abui1241-fuime-yellow-1,yellow-1-2,a d e - s a n -,biglexstat
abui1241-fuime-sick_painful-1-biglexstat,abui1241-fuime-sick_painful-1,sick_painful-1-2,n a + r i k,biglexstat
abui1241-fuime-white-1-biglexstat,abui1241-fuime-white-1,white-1-0,k u l - i,biglexstat
